name,cultures,taxid,sci_name,chromosome_numbers,genome_size,genome_gc_content,gene_counts,protein_coding_genes
Escherichia coli,"['634c', 'J429', '141c', '995', '1669', '987', 'J12', '92', '830a', '1459', '514d', '306', '133', '1635', 'J1013', '514c', '58', '238', '1484', '514', 'J475', '93', '31', '606', 'J398', '403', '553', '186', 'J75', '1025', '63', '269', 'J156', '104', '513', '548', '1775', '213', '1523', 'J27', '1167', '1715', '237', '944a', '9', 'J443', '429', 'J1230', '136', '110', '372', 'J181', '1076b', '554', 'J1130', '988', '54a', '215c', '1253', '1040', '11', '325', '456', '122', '104b', '1203', 'J256', '54', '84', '830', '104c', '924', 'J61', '1250', '105', 'J254', '1', '1684', '83', '1a', '119', '382', '948', 'J43', '462', 'J111', '78', '518', 'J14', '694', '110a', 'J302', 'J118', 'J415', '1611', '1163', 'J168', '907', '1714', '330', '54b', '90', '545', '1270', 'J59', 'J66', '794', 'J998', 'J1162', '232', '1660', '464', '381', '1160', '298', '120d', 'J346', '1277b', '785', '98', '641', '1203a', 'J25', '590', '370', '240', '252', '398', 'J180', '88c', '231', '394', '35', '65', 'J1291', '428', 'J57', '535b', '544', '101', '840', '585a', 'J386', '310', '693', 'J22', '1560', 'J1251', '255', 'J598', '212', '1713', '339a', '514f', '189', '1135', '250', '1113', '1015', 'J30', '220a', 'J1052', 'J282', '191', '645', '354', '585', '1429', 'J52', '129', '1144', '1697', '546', '215', '450', '505', '339', '661', 'J28', '426', '194', '655', '535', '1011a', 'J13', '465b', 'J677', 'J74', '220', 'J1227', '246', '1010', 'J26', '434']",386585,Escherichia coli O157:H7 str. Sakai,3,5594605,2824389,5417,5155

Bordetella parapertussis,"['438', '215', '693']",519,Bordetella parapertussis,1,4773835,3250994,4517,4228

Streptococcus parasuis,"['J28', '693', '92']",1501662,Streptococcus parasuis,1,2197342,878407,2202,2072

Alteromonas mediterranea,['514'],314275,Alteromonas mediterranea,2,4652214,2071450,4089,3978

Caldivirga maquilingensis,"['J236', '883']",397948,Caldivirga maquilingensis IC-167,1,2077567,895345,2088,2038

Clostridium perfringens,"['J84', '90', '189', '220a', '104b', '1203', '514', '191', '830', '129', '1203a', '1', '130', '339', '194', '190', '461', 'J13', '78', 'J14', '110', '458', '693']",1502,Clostridium perfringens,2,3275424,931567,2975,2833

Vibrio campbellii,"['J22', 'J7', '514f', '514']",680,Vibrio campbellii,2,5425575,2471695,4925,4718

Companilactobacillus farciminis,"['J84', 'J13', '11']",936140,Companilactobacillus farciminis KCTC 3681 = DSM 20184,1,2551839,929799,2546,2458

Micrococcus luteus,"['J388', 'J22', '1008', '92', 'J541', 'J475', '309', '830', 'J346', '641', '1', '513', 'J28', '535', 'J443', 'J14', 'J677', '496', '220', 'J26', '693']",1270,Micrococcus luteus,2,2543764,1855277,2351,2259

Phaeobacter gallaeciensis,"['J118', '514']",1423144,Phaeobacter gallaeciensis DSM 26640,8,4540155,2698552,4379,4279

Phaeobacter inhibens,['514'],221822,Phaeobacter inhibens,6,4248079,2542868,4021,3927

Archangium gephyra,"['J14', 'J423', '282a', '110', '830', '339a', '1542', 'J232', '9', '104', '1', '222', '693']",48,Archangium gephyra,1,12489432,8673757,10001,9822

Aggregatibacter actinomycetemcomitans,"['J14', 'J84', 'J70', '215', '535', 'J156', 'J256', '1', '514', '693']",714,Aggregatibacter actinomycetemcomitans,1,2109143,938334,2074,1911

Sorangium cellulosum,"['1277', '830', 'J436', 'J28', 'J925', '92', '223', '514', '736', '535', '9', 'J13', '58', '938', '693']",448385,Sorangium cellulosum So ce56,1,13033779,9302956,9700,9574

Streptococcus suis,"['696', '693', '92']",568814,Streptococcus suis BM407,2,2170808,890299,2136,1997

Massilia consociata,"['1', '535']",2765360,Massilia antarctica,1,7432405,4740518,6517,6314

Acinetobacter baumannii,"['220', 'J12', '92', '381', '1', '215', '693']",470,Acinetobacter baumannii,2,3980230,1551782,3736,3599

Streptomyces griseus subsp. griseus,"['J22', '90', '545', 'J66', '1700', '987', '514f', '92', '11', '381', '58', '1484', '514', '84', 'J475', 'J50', '830', 'J720', 'J58', 'J61', '129', '104', '1076', 'J44', '1', '215', '1775', 'J19', '252', 'J28', 'J27', 'J45', 'J43', '535', 'J13', '429', '65', 'J14', '220', '53', 'J118', '1076b', '554', 'J26', '693']",455632,Streptomyces griseus subsp. griseus NBRC 13350,1,8545929,6172503,7227,7012

Luteibacter anthropi,['535'],564369,Luteibacter anthropi,1,4961663,3186115,4262,4178

Haemophilus influenzae,"['65', '339', 'J1270', '898a', '898b', 'J43', '92', 'J1078', '804', '1203', 'J1077', 'J26', '514', '429', '693']",727,Haemophilus influenzae,1,1846259,704485,1834,1700

Bacillus thuringiensis,"['J84', 'J22', '90', 'J598', 'J97', '58', 'J475', '129', '105', '186', '104', '1203a', '1', '339', '360', '78', 'J14', '110', '220', '693']",527031,Bacillus thuringiensis serovar berliner ATCC 10792,1,6260142,2171220,6490,6171

Micromonospora maris,"['252', 'J61', '553', '65']",263358,Micromonospora maris AB-18-032,2,6732271,4769808,6076,5917

Pseudonocardia autotrophica,"['J57', 'J599', 'J169', '514b', '372', '214', '593', '535', '9', '80', '182', '81', '938', '65', '693']",2074,Pseudonocardia autotrophica,2,7535285,5488256,7108,6939

Paenibacillus larvae,"['J30', '1', '186', 'J25', '262', '693']",147375,Paenibacillus larvae subsp. larvae,3,4378174,1935010,4505,4194

Thermomicrobium roseum,"['592', '9']",309801,Thermomicrobium roseum DSM 5159,2,2920744,1877592,2625,2551

Schaalia naturae,['104'],888050,Schaalia cardiffensis F0333,1,2230588,1370546,1835,1745

Myroides odoratimimus,"['693', '92']",76832,Myroides odoratimimus,2,3938030,1346722,3593,3426

Xanthomonas hortorum,"['54', '1']",56454,Xanthomonas hortorum,2,5250904,3340794,4551,4285

Stieleria neptunia,['1560'],2527979,Stieleria neptunia,1,10975817,6462735,7534,7404

Bacillus licheniformis,"['J84', '632', '904a', '141c', '238', '514c', 'J261', '859', '833', '187', '109', '939', '1022', '186', '104', '923', '993a', '928', '430', '1014', '638', '968', '1006', 'J41', 'J181', '141', 'J841', '879', 'J354', '778a', '946a', '282', '54', '104c', '1a', 'J43', 'J325', '149', 'J14', '110a', 'J751', 'J749', 'J118', 'J303', '90', '142', '27', '829', 'J1146', '381', 'J346', '912', '98', '732a', '1171', '641', '864', '718', '360', '991', '92a', '383b', '1298', '146', '998', '693', '7', 'J383', '195a', '220a', '860', '371', '992', 'J389', '120', 'J169', '192', '1085', '195', '461', '950', 'J486', '153', '944', 'J485', '104a', '504', '1058c', '607a', '115', '514a', 'J426', '1075', '68', '605', 'J396', '144b', '895', '995', '999', '1669', 'J1234', '921', '28', 'J191', '740', '553', '830b', 'J156', 'J27', 'J280', '123', '1003', '411', '429', '957', '53', '162', '931', '971', '990', '1181', '842', '1040', '826', '11', '104b', 'J256', '1058d', '393', '193b', '924a', '830', '1051', '193', 'J1025', '908', '1058b', '462', '943', 'J111', '582', '1602', '457b', '465', 'J232', '878', '148', '913', '1175', '545', '464', '904', '1001', 'J269', '1149', 'J348', '997', '11b', 'J367', '989', '500', '993c', 'J370', '1315', '1013', '535b', '544', '959', '141b', 'J350', 'J151', '441', 'J388', 'J22', '903', '1046', '339a', 'J42', '189', '514f', '875', 'J242', '354', '1429', '1017', '1050', 'J52', '215', '1540', '899', 'J28', '194', '919', '220', '858', 'J236', 'J416', '140', 'J429', '987', '92', '830a', 'J469', '133', '58', '514', 'J475', '209', '63', '1002', '804', '792a', 'J443', '110', '26', '372', '621', 'J277', '988', 'J1130', 'J465', '215c', '917', 'J266', 'J246', '946', '1203', '965', 'J167', 'J363', '120a', '503', 'J531', '81', '1', '130', '119', '883', '97', '958', '382', '377a', '120b', 'J257', '1430', 'J160', 'J211', '520', '1058', 'J168', '907', '533', '960', '829c', '876', '1160', 'J488', 'J514', 'J341', '920', 'J364', '195c', '438', '1203a', '377', '3', 'J32', 'J309', '640', '65', '535a', '310', 'J371', 'J320', '947', '645', '585', '1423', '129', '63b', '383', '188', '87a', '190', '535', 'J13', '6', '1587', '390', 'J489', 'J397', '246a', 'J300', '1010', 'J112', '993b', 'J12', '829a', '606', '1176', '936', '11a', '1170', 'J75', '169b', '147', '213', '1523', 'J853', 'J757', '579', '76', '944a', 'J375', '13', '974', '144', '830c', '136', '1163a', '1034', '61', 'J377', '986', '1007', '122', '851', '84', 'J344', 'J284', '105', '937', '1000', '760', '948', '457', '402', '78', 'J362', '979', '429b', 'J310', '981', 'J908', '967', '142a', '922', '370', '932', '1058a', 'J82', '217', 'J312', '231', '428', '232b', '836', '896', '838', 'J282', 'J97', 'J311', 'J70', 'J79', 'J262', '339', '897', '503a', '534', '937a', '925', '776', 'J101', '884', '246', 'J26']",1402,Bacillus licheniformis,2,4342466,1988996,4475,4285

Catenulispora graminis,"['84', '65']",479433,Catenulispora acidiphila DSM 44928,1,10467782,7303066,9082,8974

Xanthomonas cassavae,['1'],1219375,Xanthomonas cassavae CFBP 4642,3,5270756,3432707,4760,4308

Bacillus cereus,"['92', '2', '1484', '514', '187', 'J475', '553', '63', '186', '459', '104', '548', '1523', 'J27', 'J104', '163', 'J443', '429', '53', '342', '1076b', '54a', 'J535', '11', 'J256', '54', '1330', '84', 'J710', '830', 'J61', '1', '119', '1a', 'J237', '358a', 'J43', '350', '457', 'J175', 'J48', '333', 'J295', 'J118', '21', '215b', '90', 'J174', '381', '364', 'J709', 'J346', 'J25', '343', 'J82', '252', '65', 'J57', '310', '693', 'J22', '1015', '189', 'J42', 'J30', '191', 'J50', 'J52', '214', '129', '215', '311c', 'J28', '190', '535', 'J51', 'J74', '220', 'J26']",1396,Bacillus cereus,3,5836971,2045987,5910,5610

Bacillus subtilis,"['634a', '463', '634c', 'J84', '1004', '1622', '600a', '141c', 'J617', '514c', 'J1177', '1484', '1426', '31', '825', '186', '1680a', 'J1103', '104', 'J676', 'J162', '1775', '1027', '673', '1606', 'J41', 'J181', '1076b', 'J161', '1543', '1505a', '429c', '879', 'J1218', '946a', '54', '503e', '1234', '104c', '924', '1250', '1699', '1831a', '56', 'J1123', 'J349', '1a', '742', 'J43', '1011', 'J1104', 'J48', 'J14', '110a', '1625', 'J505', '1594', 'J118', '1611', '90', 'J1015', '142', 'J66', '27', '1668', 'J1093', '1660', '381', '298', 'J346', '98', '641', '766', 'J1210', '755', '803', 'J1246', '718', '196', 'J456', '911', '703', '735', '323', 'J1154', '764', '383b', '840', '1590', '993', '693', '7', '1321', '195a', '1695', '1713', 'J832', '1793', '1681', '756a', '1595', '1727', '198', 'J916', '311c', '371', '829d', '120', '1675', 'J1064', '1593', 'J51', '210', '504', '1790', 'J141', '514a', 'J426', 'J1099', '1669', '1534', 'J1234', '921', '1635', '1033', '1498', '1271', '88', '403', 'J1270', '553', '754', 'J307', 'J1194', 'J1150', '665', 'J27', 'J1318', '1715', '123', 'J280', 'J104', '1609', '1630a', '429', 'J1156', 'J1142', '53', 'J1314', '717', '162', '54a', '813', '1052', '1672', '1040', '11', '104b', 'J231', 'J256', '924a', '964', 'J860', '1101', '830', 'J61', '854', 'J1172', '736', '1076', 'J1077', '1684', '193', '791', 'J574', '462', 'J111', 'J1078', '852', '465', '1277a', '878', '1626', '311', '1624', '1677', '545', 'J1162', '709', 'J1190', '464', '788', '1597b', '120d', '1680', '1122', '11b', 'J1198', '259', 'J25', '711', '756', 'J138', '769', '500', '252', '1726', 'J57', 'J965', '535b', '544', '720', '1118', 'J53', '1266a', '1690', '457d', '441', 'J22', '1578', '339a', 'J30', '514f', 'J42', '189', '250', '1015', '135', '1536', '1671', '1693', 'J351', 'J1115', '354', '1429', 'J1117', 'J52', '1697', '215', '503f', 'J28', '194', 'J391', '436', 'J1049', 'J74', '220', 'J528', 'J1125', 'J1227', '716', '1585a', '1617', '1629', '987', '92', 'J469', 'J83', '133', '58', '1159', '514', 'J475', 'J1193', '1654', '898b', '63', '269', '282b', '1676', '1341', '1304', '513', '548', '813b', 'J45', '705', '1527', '9', 'J530', '804', '1441', '163', '1302', '212a', 'J443', '260', 'J1230', '110', '1274', '372', '621', '67', '756c', '1665', 'J1155', '1041', 'J1130', 'J465', '215c', '1437', '1621', '1081', '1203', 'J612', 'J1068', 'J167', 'J363', '1190', '894', '120a', '503', '1634', '1', '81', '83', '130', '1628', '119', 'J1069', '377a', '1688', '120b', 'J77', '722', '684', 'J211', '71', 'J651', 'J168', '253', '907', '1714', '480c', '1732', 'J1238', '960', 'J1107', 'J174', '1279', 'J698', '1210c', 'J1116', '1585', '926', '785', '293', '195c', 'J800', '1203a', '377', '3', '753', '1240', '1618', 'J1122', '1704', '88c', '640', '1614', '65', 'J1166', '535a', '1646', '86', 'J386', '310', 'J58', '1560', '255', '1008', 'J407', 'J1052', '1492', '708', '645', 'J1076', '585', 'J720', '636', '898a', '129', '714', '383', 'J770', 'J7', '1613', '535', 'J1158', 'J13', '127', '713', '390', '877', '14', '124', '248', '1700', 'J12', '1678', '514d', '1620', 'J1113', '271', '555', 'J75', 'J943', '1679', '771', '730', '681', '213', '1523', 'J853', '1600', '1167', '1637', '76', '141a', '704', '49', '287', '830c', '1029', '554', '1673', '1284', 'J1090', '986', '1210a', '595', 'J535', '325', '122', '219', 'J1112', '84', 'J1124', '1592', '901a', '86a', 'J254', '798', '1623', 'J606', '542', '760', '1831', '948', '457', '402', '78', '666', '1589', 'J750', '685', '1163', '218', '330', '429b', '1667', '1757', '232', '775', '1633', '514b', 'J44', 'J918', '590', '1674', 'J82', 'J49', '231', '35', 'J1111', '1731', '428', 'J1157', 'J1291', '1743', '465g', 'J569', 'J1251', '1631', '212', '1504', '1717', '479a', '1583', '1113', 'J282', '549', '733', 'J1148', 'J50', 'J70', '756b', '339', '634', '1451', '1526e', 'J996', 'J1097', 'J54', 'J677', '496', 'J148', '776', '972', '825a', '246', 'J26']",224308,Bacillus subtilis subsp. subtilis str. 168,1,4215606,1834396,4536,4237

Lactobacillus gasseri,"['J84', 'J22', 'J148', 'J26', 'J41', 'J30', 'J33', '11', 'J118', 'J226', 'J13', '232', 'J25']",1346615,Lactobacillus gasseri 2016,2,1892784,668782,1863,1720

Truepera radiovictrix,['1033'],649638,Truepera radiovictrix DSM 17093,1,3260398,2221603,3044,2973

Heliorestis convoluta,['1381'],356322,Heliorestis convoluta,1,3218981,1386582,3079,2896

Bacillus smithii,"['J22', '1259', '1504', '987', 'J12', '92', '1660', 'J256', '549', '1536', '1159', '514', '84', 'J475', '830', 'J275', 'J61', '214', '553', '63', '714', '1499', '1', '83', '215', 'J972', '1336', 'J474', '226', '1a', '252', '426', 'J27', 'J28', 'J43', 'J104', '535', '380', '1302', 'J51', '65', 'J443', '830c', '535a', 'J57', '220', '1241', '1703', '621', 'J118', '554', '1535', 'J26', '693']",1479,Bacillus smithii,2,3381292,1378026,3167,2963

Thermanaerovibrio acidaminovorans,['104c'],525903,Thermanaerovibrio acidaminovorans DSM 6589,1,1848474,1179189,1829,1763

Myxococcus xanthus,"['J42', '250', '219', '251', '84', '645', '354', 'J58', '214', '1', '130', '83', 'J202', '613', '426', '535', '9', 'J51', '65', '220', '1749', 'J271', '1118', '67', '554', '215b', 'J386', 'J26', '907']",246197,Myxococcus xanthus DK 1622,1,9139763,6296496,7380,7234

Sulfurihydrogenibium rodmanii,['1145'],204536,Sulfurihydrogenibium azorense Az-Fu1,1,1640877,537435,1766,1714

Skermanella rubra,['1342'],1789672,Skermanella mucosa,5,7840710,5270440,7291,7078

Helicobacter pylori,"['1617', '1618', '1628', '830', 'J70', '1613', '535', 'J256', '693']",210,Helicobacter pylori,2,1624458,637675,1558,1447

Staphylococcus aureus,"['J84', 'J22', '1494', 'J12', '92', '1113', '1203', '514', '187', 'J475', '298', '585', '830', 'J70', '825', '503', 'J33', '63', '293', '104', '641', '1203a', '1', '1245', 'J32', '1337', 'J27', '190', '535', '457', '526', '65', '429', 'J14', '220', '53', 'J118', '310', '693']",93061,Staphylococcus aureus subsp. aureus NCTC 8325,1,2821361,927332,2872,2767

Arcanobacterium pinnipediorum,['693'],1503041,Arcanobacterium pinnipediorum,1,1952277,990272,1734,1652

Staphylococcus lugdunensis,"['220', '693', '92']",28035,Staphylococcus lugdunensis,1,2571829,869301,2462,2347

Legionella sainthelensi,['585'],28087,Legionella sainthelensi,3,4597280,1695015,3976,3840

Undibacterium danionis,['830'],401471,Undibacterium parvum,1,4910324,2462671,4306,4190

Streptomyces staurosporininus,"['252', 'J42', '84', '65']",2865673,Streptomyces akebiae,2,10549378,7476568,9124,8717

Streptomyces lopnurensis,"['252', '1', '65']",2865673,Streptomyces akebiae,2,10549378,7476568,9124,8717

Micromonospora schwarzwaldensis,"['J61', '553', '535', '554', '65']",644283,Micromonospora aurantiaca ATCC 27029,1,7025559,5116162,6375,6249

Sphaerobacter thermophilus,['467'],479434,Sphaerobacter thermophilus DSM 20745,2,3993764,2720128,3540,3463

Mycobacterium kansasii,"['645', '354', '426', '250', '219', '251', '215b', 'J386', '65']",557599,Mycobacterium kansasii ATCC 12478,2,6577228,4356047,5794,5488

Deinococcus radiodurans,"['J475', 'J74', '53', 'J346', '1']",243230,Deinococcus radiodurans R1 = ATCC 13939 = DSM 20539,4,3279598,2186449,3202,3113

Lacticaseibacillus paracasei subsp. paracasei,"['J84', '11', 'J13', '514']",537973,Lacticaseibacillus paracasei subsp. paracasei 8700:2,3,3025352,1400647,2953,2805

Rhodococcus coprophilus,"['J57', '220', '426', '535', '215', '65']",38310,Rhodococcus coprophilus,1,4579834,3060763,4236,4121

Pseudomonas veronii,"['535b', 'J12', '220a', 'J75', '457', '1', '65']",76761,Pseudomonas veronii,1,6852809,4184529,6297,6088

Halorubrum lacusprofundi,"['J170', '372', '589']",416348,Halorubrum lacusprofundi ATCC 49239,3,3692576,2362214,3667,3516

Streptomyces lavendulae subsp. lavendulae,"['65', '252', 'J42', '987', '84', '993']",58340,Streptomyces lavendulae subsp. lavendulae,1,8035918,5857214,7218,6940

Desulfovibrio lacusfryxellense,['163'],1725232,Candidatus Desulfovibrio trichonymphae,1,1410056,772968,1377,1273

Microbacterium awajiense,"['J118', 'J569', '514']",936337,Microbacterium amylolyticum,2,2588344,1670013,2507,2381

Vibrio zhuhaiensis,['514'],92172,Vibrio aerogenes,3,5368019,2454604,4713,4532

Salmonella enterica,"['545', '92', '553', '535', '381', '681', '215', '65', '693']",99287,Salmonella enterica subsp. enterica serovar Typhimurium str. LT2,2,4951383,2586547,4717,4554

Peribacillus frigoritolerans,"['J28', '1', '92']",450367,Peribacillus frigoritolerans,2,5568581,2259340,5342,5086

Rhodococcus ruber,"['220', '426', 'J43', '553', '535', '457', '1', '310', '65']",1830,Rhodococcus ruber,3,5698851,4015797,5253,5118

Aneurinibacillus thermoaerophilus,"['90', 'J66', 'J42', '514f', '92', '514c', '84', '514', '645', '354', 'J50', '830', 'J61', 'J52', '214', '453', '553', 'J202', '83', '215', '548', '1', '252', 'J28', 'J43', '535', '1027', 'J51', '65', '535a', 'J57', '220', 'J118', '554', 'J26', '693']",143495,Aneurinibacillus thermoaerophilus,2,3731915,1668318,3855,3598

Streptosporangium roseum,"['252', 'J52', '214', 'J42', '84', '65']",479432,Streptosporangium roseum DSM 43021,2,10369518,7348162,9306,9095

Nocardioides taihuensis,"['1484', '830']",2712223,Nocardioides anomalus,1,5120341,3753287,5154,5047

Serratia nematodiphila,"['J22', '535']",458197,Serratia nematodiphila,1,5256558,3129426,4991,4841

Elizabethkingia meningoseptica,"['J475', '830', '948', '92', 'J75', '1', '514']",238,Elizabethkingia meningoseptica,1,4004759,1457144,3646,3566

Paenisporosarcina antarctica,"['J118', '514']",417367,Paenisporosarcina antarctica,2,3972524,1468093,3811,3665

Carnobacterium maltaromaticum,"['J28', '92', 'J13', 'J16', 'J17', '693']",2751,Carnobacterium maltaromaticum,2,3502975,1207058,3238,3134

Lysobacter brunescens,"['1', '830']",2591633,Lysobacter alkalisoli,1,3857091,2567288,3432,3280

Caminibacter profundus,"['J367', '829']",391592,Caminibacter mediatlanticus TB-2,1,1685887,452725,1815,1747

Enterobacter cloacae,"['J22', '1a', '129', '92', 'J12', '535', '1', '693']",550,Enterobacter cloacae,3,5023439,2756638,4819,4667

Saccharopolyspora spinosa,"['J44', '65', '553']",60894,Saccharopolyspora spinosa,1,8876435,6033052,8033,7701

Deinococcus deserti,['92'],546414,Deinococcus deserti VCD115,4,3855329,2427711,3565,3469

Gordonia bronchialis,"['J57', '830', '426', '92', 'J43', '535', '80', '65']",526226,Gordonia bronchialis DSM 43247,2,5290012,3546559,4993,4722

Acinetobacter lwoffii,"['J22', '220', '830', '600a', '535b', 'J443', '457b', 'J12', '92', 'J118', '535', '514c', '1', 'J900', '693']",28090,Acinetobacter lwoffii,6,3528101,1502876,3363,3165

Moorella glycerini,"['793', '58', '215']",55779,Moorella glycerini,2,3559563,1948492,3562,3466

Cupriavidus necator,"['J84', '490', '248', '141c', '987', 'J12', '92', '251', '80', '514', '442', '88', '553', '186', '63', 'J742', '444', '104', '548', 'J853', 'J27', 'J45', 'J280', 'J104', '9', '1027', '768', '938', '144', '110', '569', '372', 'J47', '657', '539', 'J161', '554', '460', '405', '801', '11', '55', '1081', '219', '84', '104d', '830', 'J61', '810', 'J109', '81', '1', '83', '1a', '119', '1054', 'J527', '760', 'J43', '462', '487', 'J48', 'J14', '399', '491', '465', 'J118', '520', '218', '907', '90', '27', 'J66', '1048', 'J422', '656', '381', 'J346', '514b', '1203a', 'J44', '592', '252', '398', 'J180', '588', '217', 'J106', 'J62', 'J49', '547', '492', '65', 'J184', '428', 'J57', 'J213', '840', '993', '1241', '693', 'J58', 'J22', 'J42', '189', 'J172', '82', '816', '645', '354', 'J50', 'J80', 'J79', '1429', 'J52', '214', '619', 'J55', 'J202', '215', '339', '607', 'J169', 'J28', '194', '623', '563', 'J206', '535', 'J13', 'J51', 'J54', '220', '390', '489', 'J122', '246', 'J26', '550']",381666,Cupriavidus necator H16,3,7414561,4918787,6889,6634

Haloferax volcanii,"['97', 'J168', '372']",309800,Haloferax volcanii DS2,5,4012900,2627643,4065,3895

Methanoculleus chikugoensis,"['287', '141b', 'J262']",118126,Methanoculleus chikugoensis,1,2622259,1622131,2639,2580

Acetivibrio saccincola,['255'],1677857,Acetivibrio saccincola,1,3604547,1255024,3323,3178

Sulfurospirillum halorespirans,['732a'],1193502,Sulfurospirillum halorespirans DSM 13726,1,3029840,1251815,3057,2981

Halorhabdus utahensis,"['J294', '927']",519442,Halorhabdus utahensis DSM 12940,1,3116795,1960463,3054,2978

Paucilactobacillus oligofermentans,['11'],1423778,Paucilactobacillus oligofermentans DSM 15707 = LMG 22743,2,1845483,659467,1851,1756

Sulfuricurvum kujiense,"['1020', 'J340']",709032,Sulfuricurvum kujiense DSM 16994,5,2819357,1256420,2871,2799

Blastochloris viridis,"['J22', '27', 'J12', '11', '92', '946a', '104b', 'J1146', '876', 'J261', '58', '393', '514', 'J269', '830', 'J79', '120a', '503', '129', '63', '98', '186', 'J262', '142a', '104', '438', '377', '1', '215', '370', '1a', '883', '192', '503a', '377a', '462', '461', '535', '120b', '457', 'J13', '804', '78', '950', 'J14', '428', '220', '1587', '104a', '390', 'J160', '836', '141b', 'J118', 'J397', 'J277', 'J236', 'J151', '842', 'J841', 'J26', '693']",1079,Blastochloris viridis,1,3724841,2530394,3328,3227

Roseateles depolymerans,"['428', '1', '885']",76731,Roseateles depolymerans,1,5681722,3782163,4945,4833

Serratia marcescens,"['J100', 'J22', '90', '34', '1494', '189', '92', '11', '220a', 'J12', 'J282', '469', '1058d', '28', '381', 'J475', '31', '830', '129', 'J75', '736', 'J156', '1', 'J17', '450', '119', '1a', '693', 'J28', '426', 'J27', '392', '430', '535', '428', 'J74', '221', '496', '110', '220', '194a', 'J26', '253']",615,Serratia marcescens,2,5238537,3114418,5037,4883

Thioalkalivibrio paradoxus,"['925', 'J310', 'J312']",713585,Thioalkalivibrio paradoxus ARh 1,1,3756729,2500004,3537,3392

Streptomyces fabae,"['84', '65']",2865673,Streptomyces akebiae,2,10549378,7476568,9124,8717

Lysobacter gummosus,"['J14', '110', '1a', '830', 'J12', '67', '170', '535', '1', '222']",262324,Lysobacter gummosus,1,6056618,4029701,5038,4915

Providencia alcalifaciens,"['J22', 'J12', '92', '1', '693']",126385,Providencia alcalifaciens,1,3990106,1675390,3753,3621

Myxococcus stipitatus,"['J436', 'J124', '67', '9']",1278073,Myxococcus stipitatus DSM 14675,1,10350586,7161796,8123,7983

